,Data Variable,ADMIN_0_NAMES,ADMIN_0_PCODE,ADMIN_1_NAMES,ADMIN_1_PCODE,ISO3,ISO2,Longitude,Latitude,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020
0,AgeSex_female0to19,Burundi,BDI,Bubanza,BDI001,BDI,BI,29.3995229226,-3.12452995251,,,,,,,,,,0.2871258010466893,,,,,,,,,,
1,AgeSex_female0to19,Burundi,BDI,Bujumbura Rural,BDI002,BDI,BI,29.4484695381,-3.43402882435,,,,,,,,,,0.2880507051944733,,,,,,,,,,
2,AgeSex_female0to19,Burundi,BDI,Bururi,BDI003,BDI,BI,29.6795107744,-3.86741571626,,,,,,,,,,0.2765583048264186,,,,,,,,,,
3,AgeSex_female0to19,Burundi,BDI,Cankuzo,BDI004,BDI,BI,30.6039624429,-3.14188089638,,,,,,,,,,0.2932130260901017,,,,,,,,,,
4,AgeSex_female0to19,Burundi,BDI,Cibitoke,BDI005,BDI,BI,29.229187639,-2.81838057707,,,,,,,,,,0.299857722595334,,,,,,,,,,
5,AgeSex_female0to19,Burundi,BDI,Gitega,BDI006,BDI,BI,29.9222286552,-3.49227117522,,,,,,,,,,0.2767084650695324,,,,,,,,,,
6,AgeSex_female0to19,Burundi,BDI,Karuzi,BDI007,BDI,BI,30.1202324649,-3.13737325592,,,,,,,,,,0.298716119925181,,,,,,,,,,
7,AgeSex_female0to19,Burundi,BDI,Kayanza,BDI008,BDI,BI,29.6589247544,-3.00704253837,,,,,,,,,,0.2856848652546222,,,,,,,,,,
8,AgeSex_female0to19,Burundi,BDI,Kirundo,BDI009,BDI,BI,30.1575068495,-2.5433006941,,,,,,,,,,0.2969872341269538,,,,,,,,,,
9,AgeSex_female0to19,Burundi,BDI,Makamba,BDI010,BDI,BI,29.8203532531,-4.21883412125,,,,,,,,,,0.2959281712770462,,,,,,,,,,
10,AgeSex_female0to19,Burundi,BDI,Muramvya,BDI011,BDI,BI,29.6519520513,-3.27135953555,,,,,,,,,,0.2796151638031006,,,,,,,,,,
11,AgeSex_female0to19,Burundi,BDI,Muyinga,BDI012,BDI,BI,30.34732423,-2.77627483475,,,,,,,,,,0.2981781791085782,,,,,,,,,,
12,AgeSex_female0to19,Burundi,BDI,Mwaro,BDI013,BDI,BI,29.7152994076,-3.49055113724,,,,,,,,,,0.2739433778656853,,,,,,,,,,
13,AgeSex_female0to19,Burundi,BDI,Ngozi,BDI014,BDI,BI,29.9245868524,-2.87463596377,,,,,,,,,,0.2878002436722026,,,,,,,,,,
14,AgeSex_female0to19,Burundi,BDI,Rutana,BDI015,BDI,BI,30.0949323508,-3.87502820339,,,,,,,,,,0.2980984974475134,,,,,,,,,,
15,AgeSex_female0to19,Burundi,BDI,Ruyigi,BDI016,BDI,BI,30.322749123,-3.45799515939,,,,,,,,,,0.295889926808221,,,,,,,,,,
16,AgeSex_female0to19,Burundi,BDI,Bujumbura Mairie,BDI017,BDI,BI,29.3646907543,-3.37515900966,,,,,,,,,,0.225891575217247,,,,,,,,,,
17,AgeSex_female0to19,Burundi,BDI,Rumonge,BDI018,BDI,BI,29.4586499557,-3.82234656432,,,,,,,,,,0.2926556788958036,,,,,,,,,,
18,AgeSex_female0to19,Central African Republic,CF,Lobaye,CAF12,CAF,CF,17.6179211449,4.1726962972,,,,,,,,,,0.2589126010191495,,,,,,,,,,
19,AgeSex_female0to19,Central African Republic,CF,Sangha-Mbaere,CAF23,CAF,CF,16.2919253955,3.46119761435,,,,,,,,,,0.2591531631492433,,,,,,,,,,
20,AgeSex_female0to19,Central African Republic,CF,Mambere-Kadei,CAF21,CAF,CF,15.9163806058,4.56822907916,,,,,,,,,,0.2590295955754708,,,,,,,,,,
21,AgeSex_female0to19,Central African Republic,CF,Nana-Mambere,CAF22,CAF,CF,15.3794926679,5.6986435826,,,,,,,,,,0.2592337442440883,,,,,,,,,,
22,AgeSex_female0to19,Central African Republic,CF,Ouham,CAF32,CAF,CF,17.891222819,6.9140154557,,,,,,,,,,0.2594018512301975,,,,,,,,,,
23,AgeSex_female0to19,Central African Republic,CF,Kemo,CAF41,CAF,CF,19.2980286827,5.79776780732,,,,,,,,,,0.2590712991853555,,,,,,,,,,
24,AgeSex_female0to19,Central African Republic,CF,Nana-Gribizi,CAF42,CAF,CF,19.3306559929,7.1904858024,,,,,,,,,,0.2588548474497609,,,,,,,,,,
25,AgeSex_female0to19,Central African Republic,CF,Ouham Pende,CAF31,CAF,CF,16.1403821419,6.72816477781,,,,,,,,,,0.2592735171802645,,,,,,,,,,
26,AgeSex_female0to19,Central African Republic,CF,Vakaga,CAF53,CAF,CF,22.5144302521,9.82358743969,,,,,,,,,,0.2593998011188267,,,,,,,,,,
27,AgeSex_female0to19,Central African Republic,CF,Bamingui-Bangoran,CAF51,CAF,CF,20.5741157381,8.42156365193,,,,,,,,,,0.2592040522164003,,,,,,,,,,
28,AgeSex_female0to19,Central African Republic,CF,Haute-Kotto,CAF52,CAF,CF,22.923002074,7.46942606842,,,,,,,,,,0.2588405001937873,,,,,,,,,,
29,AgeSex_female0to19,Central African Republic,CF,Upper Mbomou,CAF63,CAF,CF,25.5883885021,6.30826654697,,,,,,,,,,0.2588735385002886,,,,,,,,,,
30,AgeSex_female0to19,Central African Republic,CF,Mbomou,CAF62,CAF,CF,23.3895029211,5.50057450152,,,,,,,,,,0.2590165501977098,,,,,,,,,,
31,AgeSex_female0to19,Central African Republic,CF,Ombella MPoko,CAF11,CAF,CF,17.9956185346,5.11643427238,,,,,,,,,,0.2590188638830562,,,,,,,,,,
32,AgeSex_female0to19,Central African Republic,CF,Ouaka,CAF43,CAF,CF,20.749181999,6.12733933514,,,,,,,,,,0.2589508806837016,,,,,,,,,,
33,AgeSex_female0to19,Central African Republic,CF,Basse-Kotto,CAF61,CAF,CF,21.3606731405,4.89283939503,,,,,,,,,,0.2591706162958003,,,,,,,,,,
34,AgeSex_female0to19,Central African Republic,CF,Bangui,CAF71,CAF,CF,18.5659322817,4.38131472678,,,,,,,,,,0.2596451342105865,,,,,,,,,,
35,AgeSex_female0to19,Djibouti,DJ,Dikhil,DJ02,DJI,DJ,42.1211511628,11.3558161163,,,,,,,,,,0.2003597955445985,,,,,,,,,,
36,AgeSex_female0to19,Djibouti,DJ,Obock,DJ04,DJI,DJ,43.087112868,12.2845886263,,,,,,,,,,0.1997832936048507,,,,,,,,,,
37,AgeSex_female0to19,Djibouti,DJ,Tadjourah,DJ05,DJI,DJ,42.5419108981,12.0025824221,,,,,,,,,,0.1995760376908277,,,,,,,,,,
38,AgeSex_female0to19,Djibouti,DJ,Djibouti,DJ03,DJI,DJ,43.052711212,11.5593315207,,,,,,,,,,0.1992798149585724,,,,,,,,,,
39,AgeSex_female0to19,Djibouti,DJ,Ali Sabieh,DJ01,DJI,DJ,42.9146732719,11.2255026442,,,,,,,,,,0.2007624912261963,,,,,,,,,,
40,AgeSex_female0to19,Djibouti,DJ,Arta,DJ06,DJI,DJ,42.6855879237,11.4345973658,,,,,,,,,,0.1993208326972448,,,,,,,,,,
41,AgeSex_female0to19,Democratic Republic of the Congo,CD,Lower Uele,COD52,COD,CD,25.1444184368,3.62643911277,,,,,,,,,,0.2805119302867139,,,,,,,,,,
42,AgeSex_female0to19,Democratic Republic of the Congo,CD,Equator ,COD41,COD,CD,18.9209992007,0.229123277124,,,,,,,,,,0.2806031048495904,,,,,,,,,,
43,AgeSex_female0to19,Democratic Republic of the Congo,CD,Upper Katanga,COD71,COD,CD,27.8374887708,-10.4498907266,,,,,,,,,,0.2808645826711856,,,,,,,,,,
44,AgeSex_female0to19,Democratic Republic of the Congo,CD,Upper Lomami,COD73,COD,CD,25.4302033331,-8.23682086604,,,,,,,,,,0.2806496847683926,,,,,,,,,,
45,AgeSex_female0to19,Democratic Republic of the Congo,CD,Upper Uele,COD53,COD,CD,28.5916600019,3.3460808491,,,,,,,,,,0.2802967729695727,,,,,,,,,,
46,AgeSex_female0to19,Democratic Republic of the Congo,CD,Ituri,COD54,COD,CD,29.4968856744,1.75223986638,,,,,,,,,,0.2807309259434004,,,,,,,,,,
47,AgeSex_female0to19,Democratic Republic of the Congo,CD,Kasai,COD92,COD,CD,21.1049462548,-4.95016470941,,,,,,,,,,0.2806492146918448,,,,,,,,,,
48,AgeSex_female0to19,Democratic Republic of the Congo,CD,Central Kasai,COD91,COD,CD,22.4891483812,-6.22642866705,,,,,,,,,,0.2806447600207385,,,,,,,,,,
49,AgeSex_female0to19,Democratic Republic of the Congo,CD,Eastern Kasai,COD82,COD,CD,23.5194225948,-6.15197120935,,,,,,,,,,0.2806496828794479,,,,,,,,,,
50,AgeSex_female0to19,Democratic Republic of the Congo,CD,Kinshasa,COD10,COD,CD,15.9113000481,-4.43976942388,,,,,,,,,,0.2806336757156156,,,,,,,,,,
51,AgeSex_female0to19,Democratic Republic of the Congo,CD,Central Kongo,COD20,COD,CD,14.3144545915,-5.28972192897,,,,,,,,,,0.2805250986192211,,,,,,,,,,
52,AgeSex_female0to19,Democratic Republic of the Congo,CD,Kwango,COD31,COD,CD,17.8658937329,-6.43462942913,,,,,,,,,,0.2806716610426732,,,,,,,,,,
53,AgeSex_female0to19,Democratic Republic of the Congo,CD,Kwilu,COD32,COD,CD,18.6549428426,-4.78252031571,,,,,,,,,,0.2806496834251242,,,,,,,,,,
54,AgeSex_female0to19,Democratic Republic of the Congo,CD,Lomami,COD81,COD,CD,24.6789125271,-6.21800501586,,,,,,,,,,0.280649684665692,,,,,,,,,,
55,AgeSex_female0to19,Democratic Republic of the Congo,CD,Lualaba,COD72,COD,CD,23.8942509554,-9.83930742719,,,,,,,,,,0.2806988921315716,,,,,,,,,,
56,AgeSex_female0to19,Democratic Republic of the Congo,CD,Mai-Ndombe,COD33,COD,CD,18.5295029179,-2.69279084454,,,,,,,,,,0.2806084776672199,,,,,,,,,,
57,AgeSex_female0to19,Democratic Republic of the Congo,CD,Maniema,COD63,COD,CD,26.4233072078,-3.08521039855,,,,,,,,,,0.2806496844844959,,,,,,,,,,
58,AgeSex_female0to19,Democratic Republic of the Congo,CD,Mongala,COD44,COD,CD,21.5134562899,2.0966079342,,,,,,,,,,0.2806496843581891,,,,,,,,,,
59,AgeSex_female0to19,Democratic Republic of the Congo,CD,North Kivu,COD61,COD,CD,28.7064378776,-0.60720248424,,,,,,,,,,0.2807522848601172,,,,,,,,,,
60,AgeSex_female0to19,Democratic Republic of the Congo,CD,North Ubangi,COD43,COD,CD,21.067520677,3.86766918545,,,,,,,,,,0.2805066272120468,,,,,,,,,,
61,AgeSex_female0to19,Democratic Republic of the Congo,CD,Sankuru,COD83,COD,CD,23.6049919607,-3.48232791671,,,,,,,,,,0.280649681081656,,,,,,,,,,
62,AgeSex_female0to19,Democratic Republic of the Congo,CD,South Kivu,COD62,COD,CD,28.2588018885,-3.21955189156,,,,,,,,,,0.2806218429680528,,,,,,,,,,
63,AgeSex_female0to19,Democratic Republic of the Congo,CD,South Ubangi,COD42,COD,CD,19.3546678254,3.09083614378,,,,,,,,,,0.2805904198865421,,,,,,,,,,
64,AgeSex_female0to19,Democratic Republic of the Congo,CD,Tanganyika,COD74,COD,CD,28.2025560434,-6.57009632761,,,,,,,,,,0.2807213855131961,,,,,,,,,,
65,AgeSex_female0to19,Democratic Republic of the Congo,CD,Tshopo,COD51,COD,CD,25.2072107221,0.48121836756,,,,,,,,,,0.2806496846807988,,,,,,,,,,
