Data Variable,COUNTRY,ADM0_EN,ADM1_PCODE,ADM1_NAME,ISO3,ISO2,Latitude,Longitude,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022
GDL-%-households-with-electricity-data,Burundi,Burundi,BDI001,Bubanza,BDI,BI,-3.124529953,29.39952292,,,0.346377503,0.417807233,0.488670061,0.560099792,0.629261912,0.702959253,0.770987567,0.844684908,0.918382249,0.986410564,1.060107905,1.12813622,1.201833561,1.269861876,1.343559217,1.417256558,1.485284872,1.558982213,1.627010528,,
GDL-%-households-with-electricity-data,Burundi,Burundi,BDI002,Bujumbura Rural,BDI,BI,-3.434028824,29.44846954,,,0.54806532,0.661086974,0.77321163,0.886233284,0.995666948,1.112276591,1.219916261,1.336525904,1.453135546,1.560775216,1.677384859,1.785024529,1.901634171,2.009273842,2.125883484,2.242493127,2.350132797,2.466742439,2.574382109,,
GDL-%-households-with-electricity-data,Burundi,Burundi,BDI003,Bururi,BDI,BI,-3.867415716,29.67951077,,,1.083175998,1.050101922,1.014271673,0.978441424,0.942611174,0.906780925,0.873706849,0.837876599,0.80204635,0.92056179,1.036321057,1.154836497,1.270595764,1.389111204,1.504870471,1.623385911,1.741901351,1.857660618,1.976176058,,
GDL-%-households-with-electricity-data,Burundi,Burundi,BDI004,Cankuzo,BDI,BI,-3.141880896,30.60396244,,,0.002531139,0.020249109,0.040498218,0.058216188,0.12655693,0.194897672,0.265769553,0.334110296,0.402451038,0.45307381,0.503696582,0.554319354,0.607473265,0.658096037,0.708718809,0.759341581,0.809964353,0.860587125,0.911209897,,
GDL-%-households-with-electricity-data,Burundi,Burundi,BDI005,Cibitoke,BDI,BI,-2.818380577,29.22918764,,,0.318801043,0.384543975,0.449765138,0.51550807,0.579163925,0.646993934,0.70960625,0.777436259,0.845266268,0.907878584,0.975708594,1.03832091,1.106150919,1.168763235,1.236593244,1.304423253,1.36703557,1.434865579,1.497477895,,
GDL-%-households-with-electricity-data,Burundi,Burundi,BDI006,Gitega,BDI,BI,-3.492271175,29.92222866,,,0.00280703,0.072982781,0.140351501,0.210527252,0.280703003,0.353685784,0.423861534,0.496844315,0.567020066,0.640002846,0.710178597,0.783161378,0.856144159,0.929126939,0.99930269,1.072285471,1.145268252,1.215444002,1.288426783,,
GDL-%-households-with-electricity-data,Burundi,Burundi,BDI007,Karuzi,BDI,BI,-3.137373256,30.12023246,,,0.00199245,0.051803699,0.099622497,0.149433746,0.199244994,0.251048693,0.300859942,0.35266364,0.402474889,0.454278587,0.504089836,0.555893534,0.607697233,0.659500931,0.70931218,0.761115879,0.812919577,0.862730826,0.914534524,,
GDL-%-households-with-electricity-data,Burundi,Burundi,BDI008,Kayanza,BDI,BI,-3.007042538,29.65892475,,,0.187240223,0.234050279,0.280860335,0.327670391,0.374480447,0.421290502,0.468100558,0.514910614,0.56172067,0.634861382,0.708002094,0.781142806,0.85135789,0.924498602,0.997639315,1.070780027,1.143920739,1.217061451,1.290202163,,
GDL-%-households-with-electricity-data,Burundi,Burundi,BDI009,Kirundo,BDI,BI,-2.543300694,30.15750685,,,0.138660855,0.173326068,0.207991282,0.242656496,0.277321709,0.311986923,0.346652137,0.38131735,0.415982564,0.47014696,0.524311357,0.578475753,0.630473573,0.68463797,0.738802366,0.792966763,0.847131159,0.901295555,0.955459952,,
GDL-%-households-with-electricity-data,Burundi,Burundi,BDI010,Makamba,BDI,BI,-4.218834121,29.82035325,,,1.048659456,1.01663932,0.981950839,0.947262358,0.912573878,0.877885397,0.845865261,0.81117678,0.776488299,0.89122712,1.003297596,1.118036417,1.230106894,1.344845714,1.456916191,1.571655012,1.686393832,1.798464309,1.913203129,,
GDL-%-households-with-electricity-data,Burundi,Burundi,BDI011,Muramvya,BDI,BI,-3.271359536,29.65195205,,,0.00295582,0.076851321,0.147791002,0.221686503,0.295582005,0.372433326,0.446328827,0.523180148,0.597075649,0.67392697,0.747822472,0.824673793,0.901525114,0.978376435,1.052271936,1.129123258,1.205974579,1.27987008,1.356721401,,
GDL-%-households-with-electricity-data,Burundi,Burundi,BDI012,Muyinga,BDI,BI,-2.776274835,30.34732423,,,0.136177077,0.170221346,0.204265615,0.238309884,0.272354153,0.306398423,0.340442692,0.374486961,0.40853123,0.461725401,0.514919571,0.568113742,0.619180146,0.672374316,0.725568487,0.778762658,0.831956828,0.885150999,0.938345169,,
GDL-%-households-with-electricity-data,Burundi,Burundi,BDI013,Mwaro,BDI,BI,-3.490551137,29.71529941,,,0.0022447,0.0583622,0.112234999,0.168352499,0.224469998,0.282832198,0.338949697,0.397311897,0.453429396,0.511791596,0.567909095,0.626271295,0.684633494,0.742995694,0.799113193,0.857475393,0.915837593,0.971955092,1.030317292,,
GDL-%-households-with-electricity-data,Burundi,Burundi,BDI014,Ngozi,BDI,BI,-2.874635964,29.92458685,,,0.177921845,0.222402307,0.266882768,0.311363229,0.355843691,0.400324152,0.444804613,0.489285075,0.533765536,0.603266257,0.672766978,0.742267699,0.808988391,0.878489111,0.947989832,1.017490553,1.086991274,1.156491995,1.225992716,,
GDL-%-households-with-electricity-data,Burundi,Burundi,BDI015,Rutana,BDI,BI,-3.875028203,30.09493235,,,0.003754982,0.030039852,0.060079705,0.086364575,0.187749077,0.289133578,0.394273061,0.495657563,0.597042065,0.672141695,0.747241326,0.822340957,0.901195569,0.9762952,1.051394831,1.126494461,1.201594092,1.276693723,1.351793354,,
GDL-%-households-with-electricity-data,Burundi,Burundi,BDI016,Ruyigi,BDI,BI,-3.457995159,30.32274912,,,0.00371388,0.029711039,0.059422078,0.085419237,0.185693993,0.285968749,0.389957385,0.490232141,0.590506898,0.664784495,0.739062092,0.813339689,0.891331166,0.965608764,1.039886361,1.114163958,1.188441555,1.262719152,1.336996749,,
GDL-%-households-with-electricity-data,Burundi,Burundi,BDI017,Bujumbura Mairie,BDI,BI,-3.37515901,29.36469075,,,4.896756134,5.906561818,6.908353171,7.918158855,8.895907216,9.937770223,10.89948992,11.94135293,12.98321594,13.94493564,14.98679864,15.94851834,16.99038135,17.95210105,18.99396406,20.03582706,20.99754676,22.03940977,23.00112947,,
GDL-%-households-with-electricity-data,Burundi,Burundi,BDI018,Rumonge,BDI,BI,-3.822346564,29.45864996,,,1.798164546,1.743258758,1.683777488,1.624296218,1.564814948,1.505333678,1.450427891,1.390946621,1.331465351,1.52821109,1.720381347,1.917127086,2.109297342,2.306043081,2.498213338,2.694959077,2.891704816,3.083875073,3.280620812,,
GDL-%-households-with-electricity-data,Djibouti,Djibouti,DJ02,Dikhil,DJI,DJ,11.35581612,42.12115116,,,,4.849208474,4.849208474,4.849208474,4.849208474,4.849208474,4.849208474,4.849208474,,,,,,,,,,,,,
GDL-%-households-with-electricity-data,Djibouti,Djibouti,DJ04,Obock,DJI,DJ,12.28458863,43.08711287,,,,3.479560733,3.479560733,3.479560733,3.479560733,3.479560733,3.479560733,3.479560733,,,,,,,,,,,,,
GDL-%-households-with-electricity-data,Djibouti,Djibouti,DJ05,Tadjourah,DJI,DJ,12.00258242,42.5419109,,,,4.907514334,4.907514334,4.907514334,4.907514334,4.907514334,4.907514334,4.907514334,,,,,,,,,,,,,
GDL-%-households-with-electricity-data,Djibouti,Djibouti,DJ01,Ali Sabieh,DJI,DJ,11.22550264,42.91467327,,,,16.284095,16.284095,16.284095,16.284095,16.284095,16.284095,16.284095,,,,,,,,,,,,,
GDL-%-households-with-electricity-data,Djibouti,Djibouti,DJ06,Arta,DJI,DJ,11.43459737,42.68558792,,,,12.87962146,12.87962146,12.87962146,12.87962146,12.87962146,12.87962146,12.87962146,,,,,,,,,,,,,
GDL-%-households-with-electricity-data,Kenya,Kenya,KEN01,Mombasa,KEN,KE,-4.021184412,39.65065227,20.42131404,19.75643405,19.09155406,18.42667406,20.89622832,23.36578258,25.83533683,28.30489109,30.77444534,32.38915389,34.0988453,35.80853671,37.42324526,39.13293667,40.74764522,43.02723377,45.21183945,47.39644514,49.67603369,51.86063937,54.14022792,59.3,61.7
GDL-%-households-with-electricity-data,Kenya,Kenya,KEN02,Kwale,KEN,KE,-4.1415269,39.15260065,0.413926512,0.400449835,0.386973158,0.373496481,0.42355271,0.47360894,0.523665169,0.573721399,0.623777628,0.656506701,0.691161014,0.725815326,0.7585444,0.793198712,0.825927785,0.872133536,0.916414046,0.960694557,1.006900307,1.051180818,1.097386568,59.3,61.7
GDL-%-households-with-electricity-data,Kenya,Kenya,KEN03,Kilifi,KEN,KE,-3.175338277,39.68667526,0.453197671,0.438442398,0.423687125,0.408931852,0.463737152,0.518542451,0.573347751,0.628153051,0.682958351,0.718792585,0.756734716,0.794676846,0.830511081,0.868453211,0.904287446,0.954876953,1.003358565,1.051840176,1.102429683,1.150911295,1.201500802,59.3,61.7
GDL-%-households-with-electricity-data,Kenya,Kenya,KEN04,Tana River,KEN,KE,-1.526363215,39.41786531,0.033472492,0.03238269,0.031292888,0.030203086,0.034250922,0.038298758,0.042346594,0.04639443,0.050442267,0.053088929,0.055891277,0.058693625,0.061340287,0.064142635,0.066789297,0.070525762,0.07410654,0.077687318,0.081423782,0.08500456,0.088741024,59.3,61.7
GDL-%-households-with-electricity-data,Kenya,Kenya,KEN05,Lamu,KEN,KE,-2.04751505,40.75809285,0.08029518,0.077680918,0.075066657,0.072452395,0.08216251,0.091872625,0.101582739,0.111292854,0.121002969,0.12735189,0.134074277,0.140796665,0.147145586,0.153867973,0.160216894,0.169180077,0.177769794,0.186359511,0.195322694,0.203912411,0.212875594,59.3,61.7
GDL-%-households-with-electricity-data,Kenya,Kenya,KEN06,Taita Taveta,KEN,KE,-3.434733997,38.418602,0.097794105,0.094610111,0.091426117,0.088242123,0.100068387,0.111894651,0.123720915,0.135547179,0.147373443,0.155106,0.163293413,0.171480827,0.179213384,0.187400797,0.195133355,0.206049906,0.216511601,0.226973296,0.237889847,0.248351542,0.259268094,59.3,61.7
GDL-%-households-with-electricity-data,Kenya,Kenya,KEN07,Garissa,KEN,KE,-0.488821087,40.19921911,0.003601628,0.388975869,0.770748481,1.156122722,1.757594667,2.355464984,2.95693693,3.554807247,4.141872679,4.357970384,4.574068088,4.790165793,5.006263498,5.222361203,5.438458908,6.518947433,7.563419674,8.643908199,9.724396724,10.76886896,11.84935749,35.9,38.8
GDL-%-households-with-electricity-data,Kenya,Kenya,KEN08,Wajir,KEN,KE,1.808137623,40.03498564,0.002318468,0.25039457,0.496152203,0.744228304,1.1314125,1.516278227,1.903462423,2.288328151,2.666238473,2.805346568,2.944454662,3.083562756,3.22267085,3.361778945,3.500887039,4.19642751,4.868783299,5.56432377,6.259864242,6.932220031,7.627760502,35.9,38.8
GDL-%-households-with-electricity-data,Kenya,Kenya,KEN09,Mandera,KEN,KE,3.436469491,40.73881017,0.004079903,0.440629561,0.873099316,1.309648974,1.990992833,2.668256788,3.349600647,4.026864603,4.691888848,4.936683049,5.18147725,5.42627145,5.671065651,5.915859852,6.160654053,7.384625057,8.567797027,9.791768031,11.01573903,12.19891101,13.42288201,35.9,38.8
