Title,Link,Published Date,Country/Region
Thailand - Multisectoral Assessment of Needs 2023 – Chiang Mai province,https://dtm.iom.int,Feb 14 2024,"Asia and the Pacific, Thailand, Dashboard/Fact Sheet, Assessment Report"
Nigeria — North-east — Mobility Tracking Round 46 IDP and Returnee Atlas (December 2023),https://dtm.iom.int,Feb 14 2024,"West and Central Africa, Nigeria, Assessment Report"
Latvia — On the Way Back: Survey with Ukrainian nationals — Annual (2023),https://dtm.iom.int,Feb 14 2024,"Europe, Latvia, Assessment Report"
Burundi — Suivi des urgences (04 - 10 Février 2024),https://dtm.iom.int,Feb 14 2024,"East and the Horn of Africa, Burundi, Dashboard/Fact Sheet"
Mozambique — Movement Alert Report — 96 (8-12 February 2024),https://dtm.iom.int,Feb 13 2024,"Southern Africa, Situation Report"
DTM Sudan Weekly Displacement Snapshot 20,https://dtm.iom.int,Feb 13 2024,"Middle East and North Africa, Sudan, Assessment Report"
Haïti — Cartographie de mobilité dans le Grand Sud — Comprendre la situation de déplacement dans le Grand Sud à travers des cartes (Décembre 2023),https://dtm.iom.int,Feb 13 2024,"Central America, North America and the Caribbean, Haiti, Compilation/Overview, Map, Assessment Report"
Afrique de l’Ouest et du Centre — Tableau de bord mensuel sur la situation en République Centrafricaine 16 (Janvier 2024),https://dtm.iom.int,Feb 13 2024,"West and Central Africa, Dashboard/Fact Sheet"
Afrique de l’Ouest et du Centre — Tableau de bord mensuel sur la crise du Liptako Gourma 45 (Janvier 2024),https://dtm.iom.int,Feb 13 2024,"West and Central Africa, Dashboard/Fact Sheet"
West and Central Africa — Central African Republic Situation Monthly Dashboard 16 (January 2024),https://dtm.iom.int,Feb 13 2024,"West and Central Africa, Dashboard/Fact Sheet"
West and Central Africa — Liptako Gourma Crisis Monthly Dashboard 45 (January 2024),https://dtm.iom.int,Feb 13 2024,"West and Central Africa, Dashboard/Fact Sheet"
Afrique de l’Ouest et du Centre — Tableau de bord mensuel sur la crise du Bassin du lac Tchad 60 (Janvier 2024),https://dtm.iom.int,Feb 13 2024,"West and Central Africa, Dashboard/Fact Sheet"
West and Central Africa — Lake Chad Basin Crisis Monthly Dashboard 60 (January 2024),https://dtm.iom.int,Feb 13 2024,"West and Central Africa, Dashboard/Fact Sheet"
"Haïti — Suivi des Urgences 37.1 — Mise à jour sur les déplacements suite aux attaques dans les communes de Carrefour, Cité Soleil et Tabarre (07 - 13 février 2024)",https://dtm.iom.int,Feb 13 2024,"Central America, North America and the Caribbean, Haiti, Dashboard/Fact Sheet"
"Haiti — Emergency Tracking Tool 37.1 — Updates on displacement following attacks in Carrefour, Cité Soleil and Tabarre (07 — 13 February 2024)",https://dtm.iom.int,Feb 13 2024,"Central America, North America and the Caribbean, Haiti, Dashboard/Fact Sheet"
Slovakia — Crossing Back Surveys with Ukrainian Nationals Annual Report (2023),https://dtm.iom.int,Feb 13 2024,"Europe, Slovakia, Assessment Report"
Mali — Rapport trimestriel sur les flux migratoires au Mali (Octobre - Décembre 2023),https://dtm.iom.int,Feb 12 2024,"West and Central Africa, Mali, Compilation/Overview, Assessment Report"
"Haiti — Emergency Tracking Tool 37 — Displacement following attacks in Carrefour, Cité Soleil and Tabarre (07 — 11 February 2024)",https://dtm.iom.int,Feb 11 2024,"Central America, North America and the Caribbean, Haiti, Dashboard/Fact Sheet"
اليمن - تسجيل مراقبة التدفق | المهاجرون غير اليمنيين واليمنيون العائدون من المملكة العربية السعودية في يناير 2024,https://dtm.iom.int,Feb 11 2024,"Middle East and North Africa, Yemen, Assessment Report"
Yemen - Flow Monitoring Registry | Non-Yemeni Migrant Arrivals and Yemeni Migrant Returnees in January 2024,https://dtm.iom.int,Feb 11 2024,"Middle East and North Africa, Yemen, Assessment Report"
