title,description,published date,url,publisher,Country_Search,Relevant_Term_Found
Middle East Conflicts and Diplomatic Efforts - Busy Body Tribune,Middle East Conflicts and Diplomatic Efforts  Busy Body Tribune,28/04/2024,https://news.google.com/rss/articles/CBMiMmh0dHBzOi8vYnVzeWJvZHl0cmlidW5lLmNvbS9taWRkbGUtZWFzdC1jb25mbGljdHMv0gEyaHR0cHM6Ly9idXN5Ym9keXRyaWJ1bmUuY29tL21pZGRsZS1lYXN0LWNvbmZsaWN0cy8?oc=5&hl=en-GB&gl=GB&ceid=GB:en,Busy Body Tribune,Bahrain,TRUE
UK will 'not take back asylum seekers from Ireland until France takes back Channel migrants' - More Radio,UK will 'not take back asylum seekers from Ireland until France takes back Channel migrants'  More Radio,29/04/2024,https://news.google.com/rss/articles/CBMigwFodHRwczovL3d3dy5tb3JlcmFkaW8ub25saW5lL25ld3Mvd2F0Y2gvdWstd2lsbC1ub3QtdGFrZS1iYWNrLWFzeWx1bS1zZWVrZXJzLWZyb20taXJlbGFuZC11bnRpbC1mcmFuY2UtdGFrZXMtYmFjay1jaGFubmVsLW1pZ3JhbnRzL9IBAA?oc=5&hl=en-GB&gl=GB&ceid=GB:en,More Radio,Barbados,TRUE
Small boat migrant arrivals by late April at highest level ever - More Radio,Small boat migrant arrivals by late April at highest level ever  More Radio,28/04/2024,https://news.google.com/rss/articles/CBMiaGh0dHBzOi8vd3d3Lm1vcmVyYWRpby5vbmxpbmUvbmV3cy93YXRjaC9zbWFsbC1ib2F0LW1pZ3JhbnQtYXJyaXZhbHMtYnktbGF0ZS1hcHJpbC1hdC1oaWdoZXN0LWxldmVsLWV2ZXIv0gEA?oc=5&hl=en-GB&gl=GB&ceid=GB:en,More Radio,Barbados,TRUE
Seven dead as minibus believed to be smuggling migrants overturns in Germany - MSN,Seven dead as minibus believed to be smuggling migrants overturns in Germany  MSN,28/04/2024,https://news.google.com/rss/articles/CBMi7QFodHRwOi8vd3d3Lm1zbi5jb20vZW4tZ2IvbmV3cy93b3JsZC9zZXZlbi1kZWFkLWFzLW1pbmlidXMtYmVsaWV2ZWQtdG8tYmUtc211Z2dsaW5nLW1pZ3JhbnRzLW92ZXJ0dXJucy1pbi1nZXJtYW55L2FyLUFBMWk5V3FSP2FwaXZlcnNpb249djImbm9zZXJ2ZXJjYWNoZT0xJmRvbXNoaW09MSZyZW5kZXJ3ZWJjb21wb25lbnRzPTEmd2NzZW89MSZiYXRjaHNlcnZlcnRlbGVtZXRyeT0xJm5vc2VydmVydGVsZW1ldHJ5PTHSAQA?oc=5&hl=en-GB&gl=GB&ceid=GB:en,MSN,Austria,TRUE
Minister Fauziyah discusses migrant workers with Malaysian minister - ANTARA English,Minister Fauziyah discusses migrant workers with Malaysian minister  ANTARA English,28/04/2024,https://news.google.com/rss/articles/CBMiaWh0dHBzOi8vZW4uYW50YXJhbmV3cy5jb20vbmV3cy8zMTIwMjQvbWluaXN0ZXItZmF1eml5YWgtZGlzY3Vzc2VzLW1pZ3JhbnQtd29ya2Vycy13aXRoLW1hbGF5c2lhbi1taW5pc3RlctIBbWh0dHBzOi8vZW4uYW50YXJhbmV3cy5jb20vYW1wL25ld3MvMzEyMDI0L21pbmlzdGVyLWZhdXppeWFoLWRpc2N1c3Nlcy1taWdyYW50LXdvcmtlcnMtd2l0aC1tYWxheXNpYW4tbWluaXN0ZXI?oc=5&hl=en-GB&gl=GB&ceid=GB:en,ANTARA English,Austria,TRUE
Josef Fritzl's House Of Horror Offered To Asylum Seekers - Yahoo News UK,Josef Fritzl's House Of Horror Offered To Asylum Seekers  Yahoo News UK,28/04/2024,https://news.google.com/rss/articles/CBMiSWh0dHA6Ly91ay5uZXdzLnlhaG9vLmNvbS9qb3NlZi1mcml0emwtaG91c2UtaG9ycm9yLW9mZmVyZWQtMTIwODU1MzE1Lmh0bWzSAQA?oc=5&hl=en-GB&gl=GB&ceid=GB:en,Yahoo News UK,Austria,TRUE
Belgium's asylum shelters will no longer take in single men in order to make room for families - Yahoo News UK,Belgium's asylum shelters will no longer take in single men in order to make room for families  Yahoo News UK,28/04/2024,https://news.google.com/rss/articles/CBMiS2h0dHBzOi8vdWsubmV3cy55YWhvby5jb20vYmVsZ2l1bS1pbXBvc2VzLWJhbi1zaGVsdGVyLXNpbmdsZS0xMDIwMzMxODcuaHRtbNIBAA?oc=5&hl=en-GB&gl=GB&ceid=GB:en,Yahoo News UK,Belgium,TRUE
Punjab's 'Donkey Flights' to the world's conflict zones - EastMojo,Punjab's 'Donkey Flights' to the world's conflict zones  EastMojo,29/04/2024,https://news.google.com/rss/articles/CBMiYWh0dHBzOi8vd3d3LmVhc3Rtb2pvLmNvbS9mZWF0dXJlcy8yMDI0LzA0LzI5L3B1bmphYnMtZG9ua2V5LWZsaWdodHMtdG8tdGhlLXdvcmxkcy1jb25mbGljdC16b25lcy_SAQA?oc=5&hl=en-GB&gl=GB&ceid=GB:en,EastMojo,Belgium,TRUE
Ioannou to inform EU counterparts on need to increase migrant returns - Cyprus Mail,Ioannou to inform EU counterparts on need to increase migrant returns  Cyprus Mail,28/04/2024,https://news.google.com/rss/articles/CBMiaWh0dHBzOi8vY3lwcnVzLW1haWwuY29tLzIwMjQvMDQvMjgvaW9hbm5vdS10by1pbmZvcm0tZXUtY291bnRlcnBhcnRzLW9uLW5lZWQtdG8taW5jcmVhc2UtbWlncmFudC1yZXR1cm5zL9IBAA?oc=5&hl=en-GB&gl=GB&ceid=GB:en,Cyprus Mail,Belgium,TRUE
"Chile truckers block roads, protest death blamed on migrants - Yahoo News Canada","Chile truckers block roads, protest death blamed on migrants  Yahoo News Canada",28/04/2024,https://news.google.com/rss/articles/CBMiS2h0dHBzOi8vY2EubmV3cy55YWhvby5jb20vY2hpbGUtdHJ1Y2tlcnMtYmxvY2stcm9hZHMtcHJvdGVzdC0xOTI2MTkxMjkuaHRtbNIBAA?oc=5&hl=en-GB&gl=GB&ceid=GB:en,Yahoo News Canada,Bolivia,TRUE
Anti-migrant raids push millions of Afghans into hiding in Pakistan - The Associated Press,Anti-migrant raids push millions of Afghans into hiding in Pakistan  The Associated Press,29/04/2024,https://news.google.com/rss/articles/CBMiZWh0dHBzOi8vYXBuZXdzLmNvbS9hcnRpY2xlL3Bha2lzdGFuLWFmZ2hhbmlzdGFuLXJlZnVnZWVzLWRlcG9ydGF0aW9uLTk5MjgyNDdhYzhjYmZlOWVmZTMzZTYwNTY0OTM3MTIx0gEA?oc=5&hl=en-GB&gl=GB&ceid=GB:en,The Associated Press,Afghanistan,TRUE
Research: The State of Global Mobility in the Afte.. | migrationpolicy.org - Migration Policy Institute,Research: The State of Global Mobility in the Afte.. | migrationpolicy.org  Migration Policy Institute,28/04/2024,https://news.google.com/rss/articles/CBMiUWh0dHBzOi8vd3d3Lm1pZ3JhdGlvbnBvbGljeS5vcmcvcmVzZWFyY2gvc3RhdGUtZ2xvYmFsLW1vYmlsaXR5LWFmdGVybWF0aC1jb3ZpZC0xOdIBAA?oc=5&hl=en-GB&gl=GB&ceid=GB:en,Migration Policy Institute,Afghanistan,TRUE
Pakistan's brutal deportation of Afghans widens to target registered migrants and refugees - Himal Southasian,Pakistan's brutal deportation of Afghans widens to target registered migrants and refugees  Himal Southasian,29/04/2024,https://news.google.com/rss/articles/CBMiWmh0dHBzOi8vd3d3LmhpbWFsbWFnLmNvbS9wb2xpdGljcy9wYWtpc3Rhbi1kZXBvcnRhdGlvbi1hZmdoYW5pc3Rhbi1taWdyYW50cy1yZWZ1Z2Vlcy13b21lbtIBAA?oc=5&hl=en-GB&gl=GB&ceid=GB:en,Himal Southasian,Afghanistan,TRUE
